name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand
Sony FW-43XE8001,5129.0,5129.0,113966.37999999999,43.0,3840.0,2160.0,1.7777777777777777,102.460798608479,60.0,1300,400.0,Other,8.0,8.2944,XLarge,4K,0,0,Sony
Fujitsu B2410 WS,1250.0,1396.0,29397.059999999998,24.1,1920.0,1200.0,1.6,93.94835982131056,60.0,1000,300.0,IPS,5.0,2.304,Medium,FullHD,0,0,Fujitsu
Xiaomi 4K Monitor A27Ui,979.0,1296.0,25275.25,27.0,3840.0,2160.0,1.7777777777777777,163.17830889498507,60.0,1200,360.0,IPS,6.0,8.2944,Large,4K,0,0,Xiaomi
Asus ProArt PA27UCX,4899.0,5893.0,119899.12,27.0,3840.0,2160.0,1.7777777777777777,163.17830889498507,60.0,1000,1200.0,IPS,5.0,8.2944,Large,4K,0,0,Asus
Iiyama ProLite XUB2792UHSU-B6,999.0,1325.0,25819.64,27.0,3840.0,2160.0,1.7777777777777777,163.17830889498507,60.0,1300,350.0,IPS,4.0,8.2944,Large,4K,0,0,Iiyama
Dell SE2425H,379.0,516.0,9943.449999999999,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,75.0,3000,250.0,VA,5.0,2.0736,Small,FullHD,0,0,Dell
Gigabyte M27QA,1090.0,1090.0,24219.8,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,180.0,1000,350.0,IPS,4.951367781155016,3.6864,Large,QHD,1,0,Gigabyte
Hannspree HP278PJB,1376.0,1376.0,30574.719999999998,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,60.0,1000,300.0,IPS,4.0,2.0736,Large,FullHD,0,0,Hannspree
ALOGIC Clarity Max Touch 32C4KPDWT,6574.0,6662.0,147051.96,32.0,3840.0,2160.0,1.7777777777777777,137.68169813014364,60.0,3000,320.0,VA,4.442516268980477,8.2944,XLarge,4K,0,0,ALOGIC
AOC 27B31H,376.0,496.0,9687.92,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,120.0,1500,300.0,IPS,4.0,2.0736,Large,FullHD,1,0,AOC
Iiyama ProLite TE9218UWI-B1AG,13945.0,27499.0,460442.83999999997,91.5,5120.0,2160.0,2.3703703703703702,60.73199558229423,60.0,4000,500.0,VA,4.442516268980477,11.0592,XLarge,4K,0,0,Iiyama
MSI MPG 322URX QD-OLED,3999.0,5282.0,103111.90999999999,31.5,3840.0,2160.0,1.7777777777777777,139.8671219099872,240.0,1500000,250.0,OLED,1.0,8.2944,Large,4K,1,1,MSI
Philips 43BDL3651T,7409.0,7808.0,169060.87,43.0,3840.0,2160.0,1.7777777777777777,102.460798608479,60.0,1200,400.0,IPS,4.951367781155016,8.2944,XLarge,4K,0,0,Philips
Asus BE24ECSBT,1340.0,1975.0,36829.65,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,75.0,1000,300.0,IPS,5.0,2.0736,Small,FullHD,0,0,Asus
Gigabyte G27FC A,904.0,1346.0,24997.5,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,165.0,3000,250.0,VA,4.442516268980477,2.0736,Large,FullHD,1,0,Gigabyte
