name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand,log_target,gaming_label
LG 27UL550,3029.0,3029.0,67304.37999999999,27.0,3840.0,2160.0,1.7777777777777777,163.1783088949851,60.0,1000,300.0,IPS,5.0,8.2944,Large,4K,0,0,LG,11.116995453002378,Non-Gaming
Lenovo L22i-30,677.0,677.0,15042.94,22.0,1920.0,1080.0,1.7777777777777777,100.13214409464992,75.0,1000,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,Lenovo,9.61873053128129,Non-Gaming
LG 32U631A,780.0,1014.0,19931.34,31.5,2560.0,1440.0,1.7777777777777777,93.24474793999148,100.0,1000,250.0,IPS,5.0,3.6864,Large,QHD,0,0,LG,9.900098817253,Non-Gaming
Acer UT241YAbmihuzx,1793.0,1793.0,39840.46,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,75.0,1000,250.0,IPS,4.0,2.0736,Small,FullHD,0,0,Acer,10.59266335761341,Non-Gaming
BenQ BL2490T,621.0,907.0,16976.079999999998,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,100.0,1300,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,BenQ,9.739619478057291,Non-Gaming
MSI PRO MP275P,389.0,1100.0,16542.79,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,100.0,1000,300.0,IPS,4.0,2.0736,Large,FullHD,0,0,MSI,9.713766083803996,Non-Gaming
Iiyama G-Master GCB4580DQSN-B1,2761.0,3830.0,73226.01,44.5,5120.0,1440.0,3.5555555555555554,119.5201448168605,165.0,3000,450.0,VA,4.442516268980477,7.3728,XLarge,QHD,1,0,Iiyama,11.201319620960716,Gaming
Asus TUF Gaming VG34VQ3B,1198.0,1800.0,33307.78,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,180.0,4000,400.0,VA,4.442516268980477,4.9536,XLarge,QHD,1,0,Asus,10.413576304879044,Gaming
Dell Alienware AW3225DM,1154.0,1579.0,30363.629999999997,31.5,2560.0,1440.0,1.7777777777777777,93.24474793999148,180.0,3000,400.0,VA,1.0,3.6864,Large,QHD,1,0,Dell,10.321033723175928,Gaming
AOC U27P2,996.0,1375.0,26341.81,27.0,3840.0,2160.0,1.7777777777777777,163.1783088949851,60.0,1000,350.0,IPS,4.0,8.2944,Large,4K,0,0,AOC,10.178950651459864,Non-Gaming
Dell UltraSharp U2424H,859.0,1179.0,22642.18,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,120.0,1000,250.0,IPS,8.0,2.0736,Small,FullHD,1,0,Dell,10.027613981817584,Gaming
Lenovo ThinkVision T27p-30,1596.0,2049.0,40495.95,27.0,3840.0,2160.0,1.7777777777777777,163.1783088949851,60.0,1300,350.0,IPS,4.0,8.2944,Large,4K,0,0,Lenovo,10.608981941616817,Non-Gaming
MSI MAG 255F E20,409.0,506.0,10165.65,24.5,1920.0,1080.0,1.7777777777777777,89.91457837070605,200.0,1000,300.0,IPS,4.951367781155016,2.0736,Medium,FullHD,1,0,MSI,9.226868034581788,Gaming
HP V22v G5,459.0,1011.0,16331.7,21.45,1920.0,1080.0,1.7777777777777777,102.69963496887172,75.0,3000,200.0,VA,5.0,2.0736,Small,FullHD,0,0,HP,9.700924512162661,Non-Gaming
HP V27i G5,540.0,857.0,15520.67,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,1000,250.0,IPS,5.0,2.0736,Large,FullHD,0,0,HP,9.649992391041195,Non-Gaming
Iiyama ProLite XUB2493QSU-B1,1195.0,1195.0,26552.9,23.8,2560.0,1440.0,1.7777777777777777,123.41216639116516,60.0,1000,300.0,IPS,4.0,3.6864,Small,QHD,0,0,Iiyama,10.186931908537783,Non-Gaming
Philips 245B1,799.0,1058.0,20631.27,24.0,2560.0,1440.0,1.7777777777777777,122.3837316712388,75.0,1000,250.0,IPS,4.0,3.6864,Medium,QHD,0,0,Philips,9.934611633943177,Non-Gaming
Samsung Odyssey G75F 37,2899.0,4112.0,77892.20999999999,37.0,3840.0,2160.0,1.7777777777777777,119.0760632476918,165.0,3000,350.0,VA,1.0,8.2944,XLarge,4K,1,1,Samsung,11.263094065030398,Gaming
Samsung S32A600NWI,1469.0,1493.0,32907.82,32.0,2560.0,1440.0,1.7777777777777777,91.7877987534291,75.0,3000,300.0,VA,5.0,3.6864,XLarge,QHD,0,0,Samsung,10.401495985931454,Non-Gaming
MSI PRO MP243XP,508.0,609.0,12409.87,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,100.0,1000,300.0,IPS,4.0,2.0736,Small,FullHD,0,0,MSI,9.42632798049566,Non-Gaming
Asus VT229H,1031.0,1250.0,25341.91,22.0,1920.0,1080.0,1.7777777777777777,100.13214409464992,60.0,1000,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,Asus,10.140254285482202,Non-Gaming
AOC AGON PRO AG246FK,1889.0,2708.0,51072.67,24.1,1920.0,1080.0,1.7777777777777777,91.40693651793768,540.0,1000,400.0,TN,4.1020408163265305,2.0736,Medium,FullHD,1,0,AOC,10.841024379209719,Gaming
Iiyama ProLite X3270QSU-B1,714.0,1142.0,20620.16,31.5,2560.0,1440.0,1.7777777777777777,93.24474793999148,100.0,1200,250.0,IPS,3.0,3.6864,Large,QHD,0,0,Iiyama,9.934073012050714,Non-Gaming
Gigabyte Aorus FO27Q3,3679.0,4091.0,86324.7,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,360.0,1500000,250.0,OLED,1.0,3.6864,Large,QHD,1,0,Gigabyte,11.365882631116136,Gaming
Asus MB14AC,659.0,839.0,16642.78,14.0,1920.0,1080.0,1.7777777777777777,157.3505121487356,60.0,700,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,Asus,9.719791852039025,Non-Gaming
Acer CB342CKsmiiphzx,3909.0,3909.0,86857.98,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,75.0,1000,250.0,IPS,4.0,4.9536,XLarge,QHD,0,0,Acer,11.372041162985095,Non-Gaming
Hannspree HL320UPB,1080.0,1133.0,24586.43,31.5,1920.0,1080.0,1.7777777777777777,69.9335609549936,60.0,1200,300.0,IPS,8.0,2.0736,Large,FullHD,0,0,Hannspree,10.109990615718173,Non-Gaming
LG 32U850SA,2251.0,2804.0,56161.05,31.5,3840.0,2160.0,1.7777777777777777,139.8671219099872,60.0,1000,400.0,IPS,5.0,8.2944,Large,4K,0,0,LG,10.935996540882483,Non-Gaming
Asus TUF Gaming VG279QM,969.0,1408.0,26408.47,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,280.0,1000,400.0,IPS,1.0,2.0736,Large,FullHD,1,0,Asus,10.181477936933808,Gaming
Lenovo T24t-20,1439.0,1634.0,34141.03,24.0,1920.0,1080.0,1.7777777777777777,91.7877987534291,60.0,1000,300.0,Other,4.0,2.0736,Medium,FullHD,0,0,Lenovo,10.438284455623458,Non-Gaming
HP P22v G5,399.0,1085.0,16487.239999999998,22.0,1920.0,1080.0,1.7777777777777777,100.13214409464992,75.0,3000,200.0,VA,5.0,2.0736,Small,FullHD,0,0,HP,9.710402678505114,Non-Gaming
Terra 2756W PV V3,914.0,914.0,20309.08,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,1000,300.0,IPS,5.0,2.0736,Large,FullHD,0,0,Terra,9.918872593513004,Non-Gaming
LG UltraWide 34BQ77QC,2159.0,2369.0,50306.079999999994,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,60.0,1000,300.0,IPS,5.0,4.9536,XLarge,QHD,0,0,LG,10.825901101649906,Non-Gaming
AOC CU34G2XPD,1314.0,1314.0,29197.08,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,180.0,4000,430.0,VA,1.0,4.9536,XLarge,QHD,1,0,AOC,10.281858232669865,Gaming
Dell UltraSharp U2722DE,1906.0,2292.0,46639.78,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,60.0,1000,350.0,IPS,5.0,3.6864,Large,QHD,0,0,Dell,10.750230544726728,Non-Gaming
Philips 272S1M,642.0,1022.0,18487.04,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,1000,250.0,IPS,4.0,2.0736,Large,FullHD,0,0,Philips,9.824879315517432,Non-Gaming
Gigabyte GS27QC,834.0,1254.0,23197.68,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,165.0,4000,250.0,VA,4.442516268980477,3.6864,Large,QHD,1,0,Gigabyte,10.051850659484007,Gaming
MSI PRO MP275 E2,469.0,731.0,13332.0,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,120.0,1500,300.0,IPS,4.0,2.0736,Large,FullHD,1,0,MSI,9.497997444115459,Gaming
AOC Q27B35S3,572.0,653.0,13609.75,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,120.0,1000,300.0,IPS,4.0,3.6864,Large,QHD,1,0,AOC,9.518615200666511,Gaming
LG Gram + view 16MR70,1117.0,1506.0,29141.53,16.0,2560.0,1600.0,1.6,188.67962264113208,60.0,1200,350.0,IPS,4.951367781155016,4.096,Small,QHD,0,0,LG,10.279953898217837,Non-Gaming
